trans_id                                           account_id                                         date                                               type                                               operation                                          amount                                             balance                                            k_symbol                                           bank                                               account
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------------------------------------
695247                                             2378                                               930101                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
171812                                             576                                                930101                                             "PRIJEM"                                           "VKLAD"                                            900.00                                             900.00                                             ""                                                 NULL                                               NULL
207264                                             704                                                930101                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
1117247                                            3818                                               930101                                             "PRIJEM"                                           "VKLAD"                                            600.00                                             600.00                                             ""                                                 NULL                                               NULL
579373                                             1972                                               930102                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
771035                                             2632                                               930102                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
452728                                             1539                                               930103                                             "PRIJEM"                                           "VKLAD"                                            600.00                                             600.00                                             ""                                                 NULL                                               NULL
725751                                             2484                                               930103                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
497211                                             1695                                               930103                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
232960                                             793                                                930103                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
505240                                             1726                                               930103                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
144541                                             485                                                930104                                             "PRIJEM"                                           "VKLAD"                                            300.00                                             300.00                                             ""                                                 NULL                                               NULL
637741                                             2177                                               930104                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
689827                                             2357                                               930104                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
846006                                             2881                                               930104                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
637742                                             2177                                               930105                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    5123.00                                            5923.00                                            "DUCHOD"                                           "YZ"                                               "62457513"
2908688                                            9635                                               930105                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
232961                                             793                                                930105                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    3401.00                                            4201.00                                            ""                                                 "IJ"                                               "6149286"
192096                                             652                                                930105                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
542215                                             1844                                               930106                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
565654                                             1926                                               930106                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
542216                                             1844                                               930107                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    3242.00                                            3742.00                                            ""                                                 "ST"                                               "42988401"
1027725                                            3510                                               930107                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
374589                                             1276                                               930107                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
579374                                             1972                                               930107                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    5298.00                                            5698.00                                            "DUCHOD"                                           "UV"                                               "14132887"
699220                                             2393                                               930107                                             "PRIJEM"                                           "VKLAD"                                            900.00                                             900.00                                             ""                                                 NULL                                               NULL
129502                                             435                                                930108                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
374590                                             1276                                               930108                                             "PRIJEM"                                           "VKLAD"                                            6774.00                                            7174.00                                            ""                                                 NULL                                               NULL
57433                                              192                                                930108                                             "PRIJEM"                                           "VKLAD"                                            300.00                                             300.00                                             ""                                                 NULL                                               NULL
497212                                             1695                                               930108                                             "PRIJEM"                                           "VKLAD"                                            11832.00                                           12032.00                                           ""                                                 NULL                                               NULL
621760                                             2122                                               930108                                             "PRIJEM"                                           "VKLAD"                                            300.00                                             300.00                                             ""                                                 NULL                                               NULL
480214                                             1637                                               930108                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
612392                                             2087                                               930108                                             "PRIJEM"                                           "VKLAD"                                            600.00                                             600.00                                             ""                                                 NULL                                               NULL
224342                                             764                                                930108                                             "PRIJEM"                                           "VKLAD"                                            1100.00                                            1100.00                                            ""                                                 NULL                                               NULL
1049881                                            3592                                               930108                                             "PRIJEM"                                           "VKLAD"                                            600.00                                             600.00                                             ""                                                 NULL                                               NULL
1132662                                            3871                                               930108                                             "PRIJEM"                                           "VKLAD"                                            300.00                                             300.00                                             ""                                                 NULL                                               NULL
1021120                                            3487                                               930108                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
439035                                             1493                                               930109                                             "PRIJEM"                                           "VKLAD"                                            200.00                                             200.00                                             ""                                                 NULL                                               NULL
110534                                             374                                                930109                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
771036                                             2632                                               930109                                             "PRIJEM"                                           "VKLAD"                                            14264.00                                           15364.00                                           ""                                                 NULL                                               NULL
506450                                             1730                                               930109                                             "PRIJEM"                                           "VKLAD"                                            900.00                                             900.00                                             ""                                                 NULL                                               NULL
192097                                             652                                                930109                                             "PRIJEM"                                           "VKLAD"                                            13851.00                                           14551.00                                           ""                                                 NULL                                               NULL
1117248                                            3818                                               930109                                             "PRIJEM"                                           "VKLAD"                                            17366.00                                           17966.00                                           ""                                                 NULL                                               NULL
695720                                             2379                                               930110                                             "PRIJEM"                                           "VKLAD"                                            800.00                                             800.00                                             ""                                                 NULL                                               NULL
857973                                             2925                                               930110                                             "PRIJEM"                                           "VKLAD"                                            1000.00                                            1000.00                                            ""                                                 NULL                                               NULL
477638                                             1628                                               930110                                             "PRIJEM"                                           "VKLAD"                                            700.00                                             700.00                                             ""                                                 NULL                                               NULL
1049882                                            3592                                               930110                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    6007.00                                            6607.00                                            "DUCHOD"                                           "MN"                                               "73166322"
252644                                             866                                                930110                                             "PRIJEM"                                           "VKLAD"                                            500.00                                             500.00                                             ""                                                 NULL                                               NULL
393505                                             1338                                               930111                                             "PRIJEM"                                           "VKLAD"                                            400.00                                             400.00                                             ""                                                 NULL                                               NULL
171813                                             576                                                930111                                             "PRIJEM"                                           "PREVOD Z UCTU"                                    6207.00                                            7107.00                                            "DUCHOD"                                           "YZ"                                               "30300313"
581699                                             1979                                               930111                                             "PRIJEM"                                           "VKLAD"                                            900.00                                             900.00                                             ""                                                 NULL                                               NULL
